[place-under-received] lassberg-letter-1280: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1307: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1313: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0152') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1322: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1327: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1334: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1339: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1344: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1366: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1369: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1383: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0152') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1384: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1390: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0152') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1406: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1410: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1414: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1416: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0152') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1421: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1423: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1424: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1439: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1446: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1452: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0152') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1456: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1457: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1465: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0016') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1468: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1471: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0152') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1498: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1523: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1528: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1551: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1554: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1578: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1612: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1618: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1627: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1647: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1695: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1697: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1733: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1797: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1833: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-1909: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[rs-mentioned-mismatch] lassberg-letter-1959.xml: <rs> keys not present in <note type='mentioned'>: ['lassberg-literature-0069']
[rs-mentioned-mismatch] lassberg-letter-1961.xml: <rs> keys not present in <note type='mentioned'>: ['lassberg-literature-0069']
[place-under-received] lassberg-letter-2015: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-2048: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-2141: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-2206: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-2440: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[place-under-received] lassberg-letter-2667: placeName found under correspAction[received] instead of [sent] ('lassberg-place-0025') - likely encoding quirk, not a real destination place
[missing-date] lassberg-letter-3266: no date on sent or received action
