url;signature_letter;place_letter;date_letter;letter_id
https://dl.ub.uni-freiburg.de/diglit/autogr1543/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1543;Schaffhausen;1822-01-05;lassberg-letter-0762
https://dl.ub.uni-freiburg.de/diglit/autogr1627/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1627;Konstanz;1818-02-26;lassberg-letter-0447
https://dl.ub.uni-freiburg.de/diglit/autogr1628/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1628;Stein am Rhein;1823-10-22;lassberg-letter-0867
https://dl.ub.uni-freiburg.de/diglit/autogr1629/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1629;Stein am Rhein;1824-10-23;lassberg-letter-0942
https://dl.ub.uni-freiburg.de/diglit/autogr1630/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1630;Stein am Rhein;1825-04-10;lassberg-letter-0983
https://dl.ub.uni-freiburg.de/diglit/autogr1631/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1631;Stein am Rhein;1825-06-22;lassberg-letter-0999
https://dl.ub.uni-freiburg.de/diglit/autogr1633/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1633;Stein am Rhein;1825-10-30;lassberg-letter-1040
https://dl.ub.uni-freiburg.de/diglit/autogr1634/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1634;Stein am Rhein;1825-11-11;lassberg-letter-1046
https://dl.ub.uni-freiburg.de/diglit/autogr1635/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1635;Stein am Rhein;1825-11-20;lassberg-letter-1048
https://dl.ub.uni-freiburg.de/diglit/autogr1636/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1636;Stein am Rhein;1825-12-21;lassberg-letter-1058
https://dl.ub.uni-freiburg.de/diglit/autogr1637/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1637;Stein am Rhein;1825-12-28;lassberg-letter-1063
https://dl.ub.uni-freiburg.de/diglit/autogr1638/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1638;Stein am Rhein;1826-02-19;lassberg-letter-1070
https://dl.ub.uni-freiburg.de/diglit/autogr1639/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1639;Stein am Rhein;1827-02-28;lassberg-letter-1150
https://dl.ub.uni-freiburg.de/diglit/autogr1640/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1640;Stein am Rhein;1827-09-23;lassberg-letter-1197
https://dl.ub.uni-freiburg.de/diglit/autogr1641/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1641;Stein am Rhein;1827-12-30;lassberg-letter-1212
https://dl.ub.uni-freiburg.de/diglit/autogr1642/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1642;Stein am Rhein;1828-05-17;lassberg-letter-1230
https://dl.ub.uni-freiburg.de/diglit/autogr1643/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1643;Stein am Rhein;1828-12-26;lassberg-letter-1269
https://dl.ub.uni-freiburg.de/diglit/autogr1644/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1644;Stein am Rhein;1829-03-08;lassberg-letter-1285
https://dl.ub.uni-freiburg.de/diglit/autogr1645/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1645;Stein am Rhein;1829-10-18;lassberg-letter-1361
https://dl.ub.uni-freiburg.de/diglit/autogr1646/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1646;Stein am Rhein;1829-11-09;lassberg-letter-1364
https://dl.ub.uni-freiburg.de/diglit/autogr1647/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1647;Stein am Rhein;1829-12-26;lassberg-letter-1389
https://dl.ub.uni-freiburg.de/diglit/autogr1648/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1648;Stein am Rhein;1830-01-25;lassberg-letter-1399
https://dl.ub.uni-freiburg.de/diglit/autogr1650/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1650;Stein am Rhein;1831-09-11;No letter found
https://dl.ub.uni-freiburg.de/diglit/autogr1651/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1651;Stein am Rhein;1832-06-06;lassberg-letter-1670
https://dl.ub.uni-freiburg.de/diglit/autogr1652/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1652;Stein am Rhein;1832-07-20;lassberg-letter-1677
https://dl.ub.uni-freiburg.de/diglit/autogr1653/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1653;Stein am Rhein;1832-11-22;lassberg-letter-1700
https://dl.ub.uni-freiburg.de/diglit/autogr1654/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1654;Stein am Rhein;1832-12-29;lassberg-letter-1708
https://dl.ub.uni-freiburg.de/diglit/autogr1655/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1655;Stein am Rhein;1833-03-28;lassberg-letter-1715
https://dl.ub.uni-freiburg.de/diglit/autogr1656/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1656;Stein am Rhein;1833-04-28;lassberg-letter-1720
https://dl.ub.uni-freiburg.de/diglit/autogr1657/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1657;Stein am Rhein;1834-06-02;No letter found
https://dl.ub.uni-freiburg.de/diglit/autogr1658/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1658;Stein am Rhein;1835-09-09;lassberg-letter-1811
https://dl.ub.uni-freiburg.de/diglit/autogr1659/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1659;Stein am Rhein;1835-12-30;lassberg-letter-1825
https://dl.ub.uni-freiburg.de/diglit/autogr1660/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1660;Stein am Rhein;1836-03-23;No letter found
https://dl.ub.uni-freiburg.de/diglit/autogr1661/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1661;Stein am Rhein;1836-10-22;No letter found
https://dl.ub.uni-freiburg.de/diglit/autogr1662/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1662;Stein am Rhein;1836-12-31;lassberg-letter-1893
https://dl.ub.uni-freiburg.de/diglit/autogr1663/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1663;Stein am Rhein;1837-02-06;lassberg-letter-1898
https://dl.ub.uni-freiburg.de/diglit/autogr1664/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1664;Stein am Rhein;1837-02-27;lassberg-letter-1902
https://dl.ub.uni-freiburg.de/diglit/autogr1665/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1665;Stein am Rhein;1837-12-12;lassberg-letter-1956
https://dl.ub.uni-freiburg.de/diglit/autogr1666/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1666;Stein am Rhein;1837-12-30;lassberg-letter-1958
https://dl.ub.uni-freiburg.de/diglit/autogr1667/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1667;Stein am Rhein;1838-02-20;lassberg-letter-1979
https://dl.ub.uni-freiburg.de/diglit/autogr1668/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1668;Stein am Rhein;1838-03-31;lassberg-letter-2000
https://dl.ub.uni-freiburg.de/diglit/autogr1669/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1669;Stein am Rhein;1838-06-12;lassberg-letter-2027
https://dl.ub.uni-freiburg.de/diglit/autogr1670/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1670;Stein am Rhein;1838-07-21;lassberg-letter-2047
https://dl.ub.uni-freiburg.de/diglit/autogr1671/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1671;Stein am Rhein;1839-10-27;lassberg-letter-2145
https://dl.ub.uni-freiburg.de/diglit/autogr1672/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1672;Stein am Rhein;1839-12-13;lassberg-letter-2150
https://dl.ub.uni-freiburg.de/diglit/autogr1673/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1673;Stein am Rhein;1839-12-23;lassberg-letter-2151
https://dl.ub.uni-freiburg.de/diglit/autogr1674/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1674;Stein am Rhein;1839-12-31;lassberg-letter-2152
https://dl.ub.uni-freiburg.de/diglit/autogr1675/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1675;Stein am Rhein;1840-01-16;lassberg-letter-2159
https://dl.ub.uni-freiburg.de/diglit/autogr1676/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1676;Stein am Rhein;1841-02-03;lassberg-letter-2224
https://dl.ub.uni-freiburg.de/diglit/autogr1677/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1677;Stein am Rhein;1841-04-21;lassberg-letter-2239
https://dl.ub.uni-freiburg.de/diglit/autogr1678/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1678;Stein am Rhein;1842-01-04;lassberg-letter-2291
https://dl.ub.uni-freiburg.de/diglit/autogr1679/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1679;Stein am Rhein;1843-01-06;lassberg-letter-2395
https://dl.ub.uni-freiburg.de/diglit/autogr1680/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1680;Stein am Rhein;1843-02-01;lassberg-letter-2400
https://dl.ub.uni-freiburg.de/diglit/autogr1681/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1681;Stein am Rhein;1843-10-11;lassberg-letter-2449
https://dl.ub.uni-freiburg.de/diglit/autogr1682/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1682;Stein am Rhein;1844-01-01;No letter found
https://dl.ub.uni-freiburg.de/diglit/autogr1683/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1683;Stein am Rhein;1844-01-10;lassberg-letter-2466
https://dl.ub.uni-freiburg.de/diglit/autogr1684/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1684;Ansbach;1829-04-19;lassberg-letter-1308
https://dl.ub.uni-freiburg.de/diglit/autogr1685/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1685;Ansbach;1829-07-13;lassberg-letter-1335
https://dl.ub.uni-freiburg.de/diglit/autogr1686/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1686;Ansbach;1830-03-29;lassberg-letter-1431
https://dl.ub.uni-freiburg.de/diglit/autogr1687/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1687;Freiburg im Breisgau;1821-05-13;lassberg-letter-0723
https://dl.ub.uni-freiburg.de/diglit/autogr1688/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1688;Freiburg im Breisgau;1821-06-06;lassberg-letter-0730
https://dl.ub.uni-freiburg.de/diglit/autogr1689/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1689;Täbingen;1831-03-30;lassberg-letter-1539
https://dl.ub.uni-freiburg.de/diglit/autogr1690/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1690;Täbingen;1831-07-21;lassberg-letter-1570
https://dl.ub.uni-freiburg.de/diglit/autogr1691/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1691;Täbingen;1832-03-08;lassberg-letter-1634
https://dl.ub.uni-freiburg.de/diglit/autogr1692/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1692;Täbingen;1832-03-15;lassberg-letter-1638
https://dl.ub.uni-freiburg.de/diglit/autogr1693/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1693;Täbingen;1836-02-26;lassberg-letter-1830
https://dl.ub.uni-freiburg.de/diglit/autogr1695/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1695;Täbingen;1838-07-20;No letter found
https://dl.ub.uni-freiburg.de/diglit/autogr1696/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1696;Wien;1809-04-06;No letter found
https://dl.ub.uni-freiburg.de/diglit/autogr1698/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1698;Mänchen;1830-11-18;lassberg-letter-1495
https://dl.ub.uni-freiburg.de/diglit/autogr1702/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1702;Mänchen;1833-05-01;lassberg-letter-1721
https://dl.ub.uni-freiburg.de/diglit/autogr1703/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1703;Mänchen;1840-08-05;lassberg-letter-2200
https://dl.ub.uni-freiburg.de/diglit/autogr1704/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1704;Mänchen;1842-09-06;lassberg-letter-2372
https://dl.ub.uni-freiburg.de/diglit/autogr1705/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1705;Mänchen;1849-12-06;lassberg-letter-2891
https://dl.ub.uni-freiburg.de/diglit/autogr1706/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1706;Rottenburg;1842-10-29;lassberg-letter-2378
https://dl.ub.uni-freiburg.de/diglit/autogr1707/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1707;Rottenburg am Neckar;1842-11-15;lassberg-letter-2383
https://dl.ub.uni-freiburg.de/diglit/autogr1708/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1708;Rottenburg am Neckar;1842-11-29;lassberg-letter-2385
https://dl.ub.uni-freiburg.de/diglit/autogr1709/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1709;Rottenburg am Neckar;1843-05-10;lassberg-letter-2426
https://dl.ub.uni-freiburg.de/diglit/autogr1710/;Universitätsbibliothek Freiburg i. Br., Autograph Nr. 1710;Rottenburg am Neckar;1843-07-20;lassberg-letter-2438
